2024/10/23	09:13:28	5f051c2f-85d6-4a44-8830-90279778d2c1	GET 	 undefined 	 /
2024/10/23	09:13:28	954f788d-51eb-47ca-adf9-ad6fa8fd21eb	GET 	 undefined 	 /css/styles.css
2024/10/23	09:20:53	25fc72bf-274b-411f-b04c-5135074c3183	GET 	 undefined 	 undefined
2024/10/23	09:20:53	8b17a90a-0fe8-49f9-9b48-e659ac41ad4b	GET 	 undefined 	 undefined
2024/10/23	09:22:56	32b79a15-14af-4eec-a946-09d792e22104	GET 	 undefined 	 undefined
2024/10/23	09:22:56	ffff17ec-1cc5-433d-8452-46c003f51048	GET 	 undefined 	 undefined
2024/10/23	09:30:13	78187ad8-6fae-4c18-8db6-952caabb6490	GET 	 undefined 	 undefined
2024/10/23	09:30:13	75dc1117-b409-4726-aceb-03f51e639b1d	GET 	 undefined 	 undefined
2024/10/23	11:27:27	d5492616-8f8c-476d-bf2d-00148db05df9	GET 	 undefined 	 undefined
2024/10/23	11:27:27	2d066014-2532-4f76-90d7-1d31dcde7d2b	GET 	 undefined 	 undefined
2024/10/23	11:40:13	177e9c5c-ee22-4c96-adbd-258876180fa0	GET 	 undefined 	 undefined
2024/10/23	12:03:35	5e386441-49b8-4b48-80ff-a70020dac7cc	GET 	 undefined 	 undefined
2024/10/23	12:03:35	874c9eba-e05a-4823-9e1b-c6ae1aade03d	GET 	 undefined 	 undefined
2024/10/23	12:03:35	b738391b-7969-4cc8-bfd3-3c3d72f57652	GET 	 undefined 	 undefined
2024/10/23	12:36:56	8379986f-82f9-4dc2-adea-fd2886698f6a	GET 	 undefined 	 undefined
2024/10/23	12:36:56	0d57b2d8-d2f0-482c-9595-f5f054b5c885	GET 	 undefined 	 undefined
2024/10/23	12:37:04	551bc7d1-0615-4735-8554-7ff6b187909d	GET 	 undefined 	 undefined
2024/10/23	12:37:05	1fbd6ac6-11a2-44ef-9087-63ed8d1e73f1	GET 	 undefined 	 undefined
2024/10/23	12:41:01	f88ea142-d788-44cc-a70f-0b9f488de05f	GET 	 undefined 	 undefined
2024/10/23	12:41:02	964b91e2-1c6c-46e7-bb5d-bcdd7e660a68	GET 	 undefined 	 undefined
2024/10/23	12:41:02	364f9f72-f21e-4f0e-a5b4-099f4039d7e0	GET 	 undefined 	 undefined
2024/10/23	12:41:03	f428bc22-9618-4af4-94e8-c38cc6062643	GET 	 undefined 	 undefined
